id,vehicleid,timestamp,BV,CHRGER,DISCHRG,CHRGNG,BATPWR
9405267,390376,3/25/2022 0:38,415,255,0,0,1
9405608,390376,3/25/2022 0:48,417,255,0,0,1
9405926,390376,3/25/2022 0:58,417,255,0,0,1
9406256,390376,3/25/2022 1:08,417,255,0,0,1
9406562,390376,3/25/2022 1:18,417,255,0,0,1
9406906,390376,3/25/2022 1:28,417,255,0,0,1
9407222,390376,3/25/2022 1:38,415,255,0,0,1
9407532,390376,3/25/2022 1:48,417,255,0,0,1
9407844,390376,3/25/2022 1:58,415,255,0,0,1
9408170,390376,3/25/2022 2:08,415,255,0,0,1
9408484,390376,3/25/2022 2:18,417,255,0,0,1
9408808,390376,3/25/2022 2:28,415,255,0,0,1
9409127,390376,3/25/2022 2:38,415,255,0,0,1
9409449,390376,3/25/2022 2:48,417,255,0,0,1
9409784,390376,3/25/2022 2:59,415,255,0,0,1
9410130,390376,3/25/2022 3:08,417,255,0,0,1
9410468,390376,3/25/2022 3:18,417,255,0,0,1
9410800,390376,3/25/2022 3:28,415,255,0,0,1
9411123,390376,3/25/2022 3:38,417,255,0,0,1
9411455,390376,3/25/2022 3:48,417,255,0,0,1
9411783,390376,3/25/2022 3:58,417,255,0,0,1
9412107,390376,3/25/2022 4:08,415,255,0,0,1
9412431,390376,3/25/2022 4:18,417,255,0,0,1
9412767,390376,3/25/2022 4:28,417,255,0,0,1
9413097,390376,3/25/2022 4:38,417,255,0,0,1
9413465,390376,3/25/2022 4:48,417,255,0,0,1
9413952,390376,3/25/2022 4:58,415,255,0,0,1
9414333,390376,3/25/2022 5:08,417,255,0,0,1
9414672,390376,3/25/2022 5:18,415,255,0,0,1
9415042,390376,3/25/2022 5:28,415,255,0,0,1
9415352,390376,3/25/2022 5:38,417,255,0,0,1
9415677,390376,3/25/2022 5:48,415,255,0,0,1
9416003,390376,3/25/2022 5:58,415,255,0,0,1
9416329,390376,3/25/2022 6:08,415,255,0,0,1
9416657,390376,3/25/2022 6:18,415,255,0,0,1
9416992,390376,3/25/2022 6:28,417,255,0,0,1
9417346,390376,3/25/2022 6:38,415,255,0,0,1
9417703,390376,3/25/2022 6:48,417,255,0,0,1
9418020,390376,3/25/2022 6:58,415,255,0,0,1
9418343,390376,3/25/2022 7:08,417,255,0,0,1
9418687,390376,3/25/2022 7:18,415,255,0,0,1
9419020,390376,3/25/2022 7:28,415,255,0,0,1
